Train,Test,U,T,Q,Q_t
POI_51 POI_188,POI_189,16 16,1 0.016666666666666666,1 0.016666666666666666,0.016666666666666666
POI_124,POI_23,17,1,1,0.6833333333333333
POI_216,POI_217,19,1,1,1.9666666666666666
POI_216 POI_217,POI_38,19 19,1 1.9666666666666666,1 1.9666666666666666,109.46666666666667
POI_241,POI_188,21,1,1,34.1
POI_241 POI_188,POI_236,21 21,1 125.75,1 34.1,66.28333333333333
POI_241 POI_188 POI_236,POI_2,21 21 21,1 125.75 66.28333333333333,1 34.1 66.28333333333333,1.9833333333333334
POI_62,POI_213,21,1,1,170.61666666666667
POI_62 POI_213,POI_188,21 21,1 170.61666666666667,1 170.61666666666667,204.68333333333334
POI_62 POI_213 POI_188,POI_190,21 21 21,1 170.61666666666667 209.41666666666666,1 170.61666666666667 204.68333333333334,82.96666666666667
POI_62 POI_213 POI_188 POI_190,POI_230,21 21 21 21,1 170.61666666666667 209.41666666666666 82.96666666666667,1 170.61666666666667 204.68333333333334 82.96666666666667,87.6
POI_62 POI_213 POI_188 POI_190 POI_230,POI_97,21 21 21 21 21,1 170.61666666666667 209.41666666666666 82.96666666666667 87.6,1 170.61666666666667 204.68333333333334 82.96666666666667 87.6,8.866666666666667
POI_178,POI_35,21,1,1,411.46666666666664
POI_178 POI_35,POI_38,21 21,1 411.73333333333335,1 411.46666666666664,119.01666666666667
POI_178 POI_35 POI_38,POI_236,21 21 21,1 411.73333333333335 126.06666666666666,1 411.46666666666664 119.01666666666667,12.183333333333334
POI_178 POI_35 POI_38 POI_236,POI_177,21 21 21 21,1 411.73333333333335 126.06666666666666 49.333333333333336,1 411.46666666666664 119.01666666666667 12.183333333333334,111.78333333333333
POI_215,POI_231,23,1,1,300.7
POI_215 POI_231,POI_230,23 23,1 300.7,1 300.7,5.25
POI_215 POI_231 POI_230,POI_131,23 23 23,1 300.7 5.25,1 300.7 5.25,56.13333333333333
POI_215 POI_231 POI_230 POI_131,POI_57,23 23 23 23,1 300.7 5.25 56.13333333333333,1 300.7 5.25 56.13333333333333,218.11666666666667
POI_223,POI_201,24,1,1,153.7
POI_47,POI_11,25,1,1,108.05
POI_47 POI_11,POI_57,25 25,1 108.05,1 108.05,103.45
POI_164,POI_5,27,1,1,43.15
POI_190,POI_35,29,1,1,0.08333333333333333
POI_190 POI_35,POI_65,29 29,1 0.08333333333333333,1 0.08333333333333333,0.2
POI_190 POI_35 POI_65,POI_235,29 29 29,1 0.08333333333333333 0.2,1 0.08333333333333333 0.2,0.06666666666666667
POI_190 POI_35 POI_65 POI_235,POI_89,29 29 29 29,1 0.08333333333333333 0.2 0.06666666666666667,1 0.08333333333333333 0.2 0.06666666666666667,0.1
POI_35,POI_38,29,1,1,7.1
POI_14,POI_90,29,1,1,23.05
POI_14 POI_90,POI_13,29 29,1 23.05,1 23.05,-166.45
POI_14 POI_90 POI_13,POI_90,29 29 29,1 23.05 9.75,1 23.05 -166.45,-9.716666666666667
POI_99,POI_98,29,1,1,85.36666666666666
POI_117,POI_37,29,1,1,7.8
POI_117 POI_37,POI_90,29 29,1 12.366666666666667,1 7.8,51.13333333333333
POI_105,POI_101,29,1,1,2.683333333333333
POI_11,POI_95,29,1,1,28.983333333333334
POI_230,POI_97,29,1,1,-12.266666666666667
POI_230 POI_97,POI_99,29 29,1 0.8666666666666667,1 -12.266666666666667,-4.366666666666666
POI_230 POI_97 POI_99,POI_97,29 29 29,1 0.8666666666666667 1.75,1 -12.266666666666667 -4.366666666666666,-1.7166666666666666
POI_230 POI_97 POI_99 POI_97,POI_231,29 29 29 29,1 0.8666666666666667 1.75 -1.7166666666666666,1 -12.266666666666667 -4.366666666666666 -1.7166666666666666,0.7166666666666667
POI_230 POI_97 POI_99 POI_97 POI_231,POI_230,29 29 29 29 29,1 0.8666666666666667 1.75 -1.7166666666666666 6.833333333333333,1 -12.266666666666667 -4.366666666666666 -1.7166666666666666 0.7166666666666667,-11.166666666666666
POI_230 POI_97 POI_99 POI_97 POI_231 POI_230,POI_190,29 29 29 29 29 29,1 0.8666666666666667 1.75 -1.7166666666666666 6.833333333333333 -7.65,1 -12.266666666666667 -4.366666666666666 -1.7166666666666666 0.7166666666666667 -11.166666666666666,1.8833333333333333
POI_230 POI_97 POI_99 POI_97 POI_231 POI_230 POI_190,POI_61,29 29 29 29 29 29 29,1 0.8666666666666667 1.75 -1.7166666666666666 6.833333333333333 -7.65 15.016666666666667,1 -12.266666666666667 -4.366666666666666 -1.7166666666666666 0.7166666666666667 -11.166666666666666 1.8833333333333333,7.45
POI_230 POI_97 POI_99 POI_97 POI_231 POI_230 POI_190 POI_61,POI_14,29 29 29 29 29 29 29 29,1 0.8666666666666667 1.75 -1.7166666666666666 6.833333333333333 -7.65 15.016666666666667 7.45,1 -12.266666666666667 -4.366666666666666 -1.7166666666666666 0.7166666666666667 -11.166666666666666 1.8833333333333333 7.45,14.116666666666667
POI_79,POI_95,30,1,1,4.45
POI_79 POI_95,POI_228,30 30,1 7.983333333333333,1 4.45,10.083333333333334
POI_79 POI_95 POI_228,POI_230,30 30 30,1 7.983333333333333 10.583333333333334,1 4.45 10.083333333333334,-109.83333333333333
POI_79 POI_95 POI_228 POI_230,POI_235,30 30 30 30,1 7.983333333333333 10.583333333333334 19.5,1 4.45 10.083333333333334 -109.83333333333333,60.28333333333333
POI_79 POI_95 POI_228 POI_230 POI_235,POI_38,30 30 30 30 30,1 7.983333333333333 10.583333333333334 19.5 60.28333333333333,1 4.45 10.083333333333334 -109.83333333333333 60.28333333333333,4.666666666666667
POI_79 POI_95 POI_228 POI_230 POI_235 POI_38,POI_228,30 30 30 30 30 30,1 7.983333333333333 10.583333333333334 19.5 60.28333333333333 4.666666666666667,1 4.45 10.083333333333334 -109.83333333333333 60.28333333333333 4.666666666666667,-86.35
POI_65,POI_202,31,1,1,17.233333333333334
POI_80,POI_81,33,1,1,3.6
POI_190,POI_230,35,1,1,0.016666666666666666
POI_200,POI_213,36,1,1,-62.233333333333334
POI_200 POI_213,POI_200,36 36,1 8.366666666666667,1 -62.233333333333334,-73.4
POI_200 POI_213 POI_200,POI_213,36 36 36,1 8.366666666666667 -8.333333333333334,1 -62.233333333333334 -73.4,-62.233333333333334
POI_200 POI_213 POI_200 POI_213,POI_200,36 36 36 36,1 8.366666666666667 -8.333333333333334 8.366666666666667,1 -62.233333333333334 -73.4 -62.233333333333334,-73.4
POI_200 POI_213 POI_200 POI_213 POI_200,POI_213,36 36 36 36 36,1 8.366666666666667 -8.333333333333334 8.366666666666667 -8.333333333333334,1 -62.233333333333334 -73.4 -62.233333333333334 -73.4,-62.233333333333334
POI_136,POI_84,38,1,1,252.35
POI_136 POI_84,POI_93,38 38,1 252.35,1 252.35,116.91666666666667
POI_188,POI_12,39,1,1,213.91666666666666
POI_188 POI_12,POI_236,39 39,1 213.91666666666666,1 213.91666666666666,1.4833333333333334
POI_202,POI_65,41,1,1,1.2
POI_189,POI_38,42,1,1,10.666666666666666
POI_189,POI_177,42,1,1,98.33333333333333
POI_235,POI_177,42,1,1,20.233333333333334
POI_235 POI_177,POI_241,42 42,1 20.233333333333334,1 20.233333333333334,1.45
POI_235 POI_177 POI_241,POI_11,42 42 42,1 20.233333333333334 5.383333333333334,1 20.233333333333334 1.45,426.1333333333333
POI_131,POI_12,43,1,1,15.716666666666667
POI_131 POI_12,POI_165,43 43,1 15.716666666666667,1 15.716666666666667,1.3333333333333333
POI_190,POI_90,43,1,1,19.066666666666666
POI_190 POI_90,POI_2,43 43,1 19.066666666666666,1 19.066666666666666,1.95
POI_136,POI_161,43,1,1,5.816666666666666
POI_136 POI_161,POI_56,43 43,1 8.133333333333333,1 5.816666666666666,266.6166666666667
POI_231,POI_90,43,1,1,14.7
POI_65,POI_90,43,1,1,17.533333333333335
POI_65 POI_90,POI_2,43 43,1 80.11666666666666,1 17.533333333333335,-2.95
POI_65 POI_90 POI_2,POI_90,43 43 43,1 80.11666666666666 1.7166666666666666,1 17.533333333333335 -2.95,-1.6833333333333333
POI_65 POI_90 POI_2 POI_90,POI_190,43 43 43 43,1 80.11666666666666 1.7166666666666666 -1.6833333333333333,1 17.533333333333335 -2.95 -1.6833333333333333,7.95
POI_65 POI_90 POI_2 POI_90 POI_190,POI_189,43 43 43 43 43,1 80.11666666666666 1.7166666666666666 -1.6833333333333333 12.616666666666667,1 17.533333333333335 -2.95 -1.6833333333333333 7.95,17.666666666666668
POI_66,POI_90,43,1,1,3.033333333333333
POI_88,POI_130,43,1,1,0.9833333333333333
POI_88 POI_130,POI_129,43 43,1 0.9833333333333333,1 0.9833333333333333,135.75
POI_5,POI_164,43,1,1,4.416666666666667
POI_29,POI_169,43,1,1,198.48333333333332
POI_131,POI_188,45,1,1,0.16666666666666666
POI_131 POI_188,POI_190,45 45,1 0.16666666666666666,1 0.16666666666666666,-0.06666666666666667
POI_131 POI_188 POI_190,POI_188,45 45 45,1 0.16666666666666666 0.1,1 0.16666666666666666 -0.06666666666666667,-0.06666666666666667
POI_131 POI_188 POI_190 POI_188,POI_189,45 45 45 45,1 0.16666666666666666 0.1 -0.06666666666666667,1 0.16666666666666666 -0.06666666666666667 -0.06666666666666667,0.08333333333333333
POI_131 POI_188 POI_190 POI_188 POI_189,POI_165,45 45 45 45 45,1 0.16666666666666666 0.1 -0.06666666666666667 0.25,1 0.16666666666666666 -0.06666666666666667 -0.06666666666666667 0.08333333333333333,0.5666666666666667
POI_131 POI_188 POI_190 POI_188 POI_189 POI_165,POI_65,45 45 45 45 45 45,1 0.16666666666666666 0.1 -0.06666666666666667 0.25 0.7833333333333333,1 0.16666666666666666 -0.06666666666666667 -0.06666666666666667 0.08333333333333333 0.5666666666666667,0.08333333333333333
POI_131 POI_188 POI_190 POI_188 POI_189 POI_165 POI_65,POI_12,45 45 45 45 45 45 45,1 0.16666666666666666 0.1 -0.06666666666666667 0.25 0.7833333333333333 0.08333333333333333,1 0.16666666666666666 -0.06666666666666667 -0.06666666666666667 0.08333333333333333 0.5666666666666667 0.08333333333333333,0.1
POI_197,POI_124,46,1,1,39.1
POI_99,POI_90,46,1,1,9.366666666666667
POI_228,POI_84,46,1,1,1.4833333333333334
POI_70,POI_218,47,1,1,2.95
POI_70 POI_218,POI_185,47 47,1 2.95,1 2.95,0.3333333333333333
POI_70 POI_218 POI_185,POI_228,47 47 47,1 2.95 0.3333333333333333,1 2.95 0.3333333333333333,7.283333333333333
POI_70 POI_218 POI_185 POI_228,POI_190,47 47 47 47,1 2.95 0.3333333333333333 13.4,1 2.95 0.3333333333333333 7.283333333333333,9.133333333333333
POI_70 POI_218 POI_185 POI_228 POI_190,POI_230,47 47 47 47 47,1 2.95 0.3333333333333333 13.4 10.5,1 2.95 0.3333333333333333 7.283333333333333 9.133333333333333,1.15
POI_70 POI_218 POI_185 POI_228 POI_190 POI_230,POI_97,47 47 47 47 47 47,1 2.95 0.3333333333333333 13.4 10.5 4.183333333333334,1 2.95 0.3333333333333333 7.283333333333333 9.133333333333333 1.15,-1.1666666666666667
POI_70 POI_218 POI_185 POI_228 POI_190 POI_230 POI_97,POI_230,47 47 47 47 47 47 47,1 2.95 0.3333333333333333 13.4 10.5 4.183333333333334 4.6,1 2.95 0.3333333333333333 7.283333333333333 9.133333333333333 1.15 -1.1666666666666667,-8.0
POI_70 POI_218 POI_185 POI_228 POI_190 POI_230 POI_97 POI_230,POI_97,47 47 47 47 47 47 47 47,1 2.95 0.3333333333333333 13.4 10.5 4.183333333333334 4.6 -4.566666666666666,1 2.95 0.3333333333333333 7.283333333333333 9.133333333333333 1.15 -1.1666666666666667 -8.0,-1.1666666666666667
POI_230,POI_93,48,1,1,11.533333333333333
POI_230 POI_93,POI_150,48 48,1 11.533333333333333,1 11.533333333333333,27.066666666666666
POI_230 POI_93 POI_150,POI_88,48 48 48,1 11.533333333333333 27.066666666666666,1 11.533333333333333 27.066666666666666,89.2
POI_230 POI_93 POI_150 POI_88,POI_131,48 48 48 48,1 11.533333333333333 27.066666666666666 139.63333333333333,1 11.533333333333333 27.066666666666666 89.2,11.483333333333333
POI_174,POI_162,49,1,1,8.4
POI_174 POI_162,POI_4,49 49,1 8.4,1 8.4,14.583333333333334
POI_174 POI_162 POI_4,POI_124,49 49 49,1 8.4 16.116666666666667,1 8.4 14.583333333333334,11.033333333333333
POI_174 POI_162 POI_4 POI_124,POI_16,49 49 49 49,1 8.4 16.116666666666667 17.7,1 8.4 14.583333333333334 11.033333333333333,44.56666666666667
POI_174 POI_162 POI_4 POI_124 POI_16,POI_17,49 49 49 49 49,1 8.4 16.116666666666667 17.7 53.03333333333333,1 8.4 14.583333333333334 11.033333333333333 44.56666666666667,2.1666666666666665
POI_174 POI_162 POI_4 POI_124 POI_16 POI_17,POI_159,49 49 49 49 49 49,1 8.4 16.116666666666667 17.7 53.03333333333333 2.1666666666666665,1 8.4 14.583333333333334 11.033333333333333 44.56666666666667 2.1666666666666665,2.95
POI_174 POI_162 POI_4 POI_124 POI_16 POI_17 POI_159,POI_160,49 49 49 49 49 49 49,1 8.4 16.116666666666667 17.7 53.03333333333333 2.1666666666666665 4.15,1 8.4 14.583333333333334 11.033333333333333 44.56666666666667 2.1666666666666665 2.95,-6.733333333333333
POI_174 POI_162 POI_4 POI_124 POI_16 POI_17 POI_159 POI_160,POI_159,49 49 49 49 49 49 49 49,1 8.4 16.116666666666667 17.7 53.03333333333333 2.1666666666666665 4.15 1.0666666666666667,1 8.4 14.583333333333334 11.033333333333333 44.56666666666667 2.1666666666666665 2.95 -6.733333333333333,-11.95
POI_174 POI_162 POI_4 POI_124 POI_16 POI_17 POI_159 POI_160 POI_159,POI_136,49 49 49 49 49 49 49 49 49,1 8.4 16.116666666666667 17.7 53.03333333333333 2.1666666666666665 4.15 1.0666666666666667 -1.0333333333333334,1 8.4 14.583333333333334 11.033333333333333 44.56666666666667 2.1666666666666665 2.95 -6.733333333333333 -11.95,1.5833333333333333
POI_174 POI_162 POI_4 POI_124 POI_16 POI_17 POI_159 POI_160 POI_159 POI_136,POI_160,49 49 49 49 49 49 49 49 49 49,1 8.4 16.116666666666667 17.7 53.03333333333333 2.1666666666666665 4.15 1.0666666666666667 -1.0333333333333334 9.383333333333333,1 8.4 14.583333333333334 11.033333333333333 44.56666666666667 2.1666666666666665 2.95 -6.733333333333333 -11.95 1.5833333333333333,-9.7
POI_221,POI_47,49,1,1,12.233333333333333
POI_221 POI_47,POI_189,49 49,1 22.383333333333333,1 12.233333333333333,40.0
POI_221 POI_47 POI_189,POI_97,49 49 49,1 22.383333333333333 53.666666666666664,1 12.233333333333333 40.0,0.75
POI_221 POI_47 POI_189 POI_97,POI_230,49 49 49 49,1 22.383333333333333 53.666666666666664 0.75,1 12.233333333333333 40.0 0.75,-20.083333333333332
POI_221 POI_47 POI_189 POI_97 POI_230,POI_55,49 49 49 49 49,1 22.383333333333333 53.666666666666664 0.75 2.05,1 12.233333333333333 40.0 0.75 -20.083333333333332,0.65
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55,POI_97,49 49 49 49 49 49,1 22.383333333333333 53.666666666666664 0.75 2.05 0.65,1 12.233333333333333 40.0 0.75 -20.083333333333332 0.65,-2.65
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55 POI_97,POI_48,49 49 49 49 49 49 49,1 22.383333333333333 53.666666666666664 0.75 2.05 0.65 -2.65,1 12.233333333333333 40.0 0.75 -20.083333333333332 0.65 -2.65,15.55
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55 POI_97 POI_48,POI_173,49 49 49 49 49 49 49 49,1 22.383333333333333 53.666666666666664 0.75 2.05 0.65 -2.65 37.68333333333333,1 12.233333333333333 40.0 0.75 -20.083333333333332 0.65 -2.65 15.55,1.2166666666666666
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55 POI_97 POI_48 POI_173,POI_179,49 49 49 49 49 49 49 49 49,1 22.383333333333333 53.666666666666664 0.75 2.05 0.65 -2.65 37.68333333333333 1.2166666666666666,1 12.233333333333333 40.0 0.75 -20.083333333333332 0.65 -2.65 15.55 1.2166666666666666,1.2833333333333334
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55 POI_97 POI_48 POI_173 POI_179,POI_106,49 49 49 49 49 49 49 49 49 49,1 22.383333333333333 53.666666666666664 0.75 2.05 0.65 -2.65 37.68333333333333 1.2166666666666666 1.2833333333333334,1 12.233333333333333 40.0 0.75 -20.083333333333332 0.65 -2.65 15.55 1.2166666666666666 1.2833333333333334,23.916666666666668
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55 POI_97 POI_48 POI_173 POI_179 POI_106,POI_70,49 49 49 49 49 49 49 49 49 49 49,1 22.383333333333333 53.666666666666664 0.75 2.05 0.65 -2.65 37.68333333333333 1.2166666666666666 1.2833333333333334 24.45,1 12.233333333333333 40.0 0.75 -20.083333333333332 0.65 -2.65 15.55 1.2166666666666666 1.2833333333333334 23.916666666666668,12.05
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55 POI_97 POI_48 POI_173 POI_179 POI_106 POI_70,POI_129,49 49 49 49 49 49 49 49 49 49 49 49,1 22.383333333333333 53.666666666666664 0.75 2.05 0.65 -2.65 37.68333333333333 1.2166666666666666 1.2833333333333334 24.45 12.05,1 12.233333333333333 40.0 0.75 -20.083333333333332 0.65 -2.65 15.55 1.2166666666666666 1.2833333333333334 23.916666666666668 12.05,14.5
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55 POI_97 POI_48 POI_173 POI_179 POI_106 POI_70 POI_129,POI_190,49 49 49 49 49 49 49 49 49 49 49 49 49,1 22.383333333333333 53.666666666666664 0.75 2.05 0.65 -2.65 37.68333333333333 1.2166666666666666 1.2833333333333334 24.45 12.05 14.5,1 12.233333333333333 40.0 0.75 -20.083333333333332 0.65 -2.65 15.55 1.2166666666666666 1.2833333333333334 23.916666666666668 12.05 14.5,26.116666666666667
POI_221 POI_47 POI_189 POI_97 POI_230 POI_55 POI_97 POI_48 POI_173 POI_179 POI_106 POI_70 POI_129 POI_190,POI_185,49 49 49 49 49 49 49 49 49 49 49 49 49 49,1 22.383333333333333 53.666666666666664 0.75 2.05 0.65 -2.65 37.68333333333333 1.2166666666666666 1.2833333333333334 24.45 12.05 14.5 26.116666666666667,1 12.233333333333333 40.0 0.75 -20.083333333333332 0.65 -2.65 15.55 1.2166666666666666 1.2833333333333334 23.916666666666668 12.05 14.5 26.116666666666667,6.983333333333333
POI_124,POI_125,50,1,1,1.4833333333333334
POI_124 POI_125,POI_4,50 50,1 224.5,1 1.4833333333333334,9.466666666666667
POI_150,POI_152,51,1,1,0.21666666666666667
POI_190,POI_189,52,1,1,20.516666666666666
POI_189,POI_165,52,1,1,-43.583333333333336
POI_189 POI_165,POI_201,52 52,1 238.2,1 -43.583333333333336,5.116666666666666
POI_189 POI_165 POI_201,POI_189,52 52 52,1 238.2 29.216666666666665,1 -43.583333333333336 5.116666666666666,-267.3666666666667
POI_228,POI_223,53,1,1,24.716666666666665
POI_235,POI_220,55,1,1,45.45
POI_190,POI_55,57,1,1,9.4
POI_190 POI_55,POI_88,57 57,1 9.4,1 9.4,41.38333333333333
POI_190 POI_55 POI_88,POI_84,57 57 57,1 9.4 41.38333333333333,1 9.4 41.38333333333333,9.383333333333333
POI_190 POI_55 POI_88 POI_84,POI_35,57 57 57 57,1 9.4 41.38333333333333 9.383333333333333,1 9.4 41.38333333333333 9.383333333333333,20.433333333333334
POI_51,POI_202,58,1,1,7.033333333333333
POI_51 POI_202,POI_35,58 58,1 24.433333333333334,1 7.033333333333333,37.95
POI_51 POI_202 POI_35,POI_190,58 58 58,1 24.433333333333334 62.5,1 7.033333333333333 37.95,5.433333333333334
POI_51 POI_202 POI_35 POI_190,POI_131,58 58 58 58,1 24.433333333333334 62.5 6.85,1 7.033333333333333 37.95 5.433333333333334,11.85
POI_51 POI_202 POI_35 POI_190 POI_131,POI_213,58 58 58 58 58,1 24.433333333333334 62.5 6.85 14.316666666666666,1 7.033333333333333 37.95 5.433333333333334 11.85,46.06666666666667
POI_188,POI_190,59,1,1,12.383333333333333
POI_230,POI_99,60,1,1,5.6
POI_152,POI_223,60,1,1,115.48333333333333
POI_95,POI_80,67,1,1,9.833333333333334
POI_229,POI_61,72,1,1,31.466666666666665
POI_188,POI_190,75,1,1,0.016666666666666666
POI_230,POI_224,77,1,1,17.616666666666667
POI_98,POI_4,77,1,1,155.18333333333334
POI_98 POI_4,POI_124,77 77,1 155.18333333333334,1 155.18333333333334,7.766666666666667
POI_98 POI_4 POI_124,POI_65,77 77 77,1 155.18333333333334 7.766666666666667,1 155.18333333333334 7.766666666666667,81.68333333333334
POI_200,POI_65,82,1,1,85.11666666666666
POI_131,POI_130,82,1,1,23.616666666666667
POI_190,POI_188,82,1,1,68.6
POI_190 POI_188,POI_189,82 82,1 68.6,1 68.6,38.96666666666667
POI_150,POI_230,82,1,1,2.7666666666666666
POI_150 POI_230,POI_99,82 82,1 2.7666666666666666,1 2.7666666666666666,25.416666666666668
POI_98,POI_135,82,1,1,19.233333333333334
POI_98 POI_135,POI_130,82 82,1 19.233333333333334,1 19.233333333333334,0.75
POI_35,POI_38,82,1,1,360.43333333333334
POI_65,POI_190,82,1,1,432.1
POI_152,POI_38,82,1,1,205.06666666666666
POI_152 POI_38,POI_84,82 82,1 216.9,1 205.06666666666666,1.0
POI_90,POI_132,82,1,1,1.8333333333333333
POI_90 POI_132,POI_120,82 82,1 1.8333333333333333,1 1.8333333333333333,51.166666666666664
POI_4,POI_220,83,1,1,2.033333333333333
POI_4 POI_220,POI_124,83 83,1 6.233333333333333,1 2.033333333333333,0.08333333333333333
POI_4 POI_220 POI_124,POI_125,83 83 83,1 6.233333333333333 2.3333333333333335,1 2.033333333333333 0.08333333333333333,9.233333333333333
POI_4 POI_220 POI_124 POI_125,POI_50,83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333,1 2.033333333333333 0.08333333333333333 9.233333333333333,-20.633333333333333
POI_4 POI_220 POI_124 POI_125 POI_50,POI_125,83 83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333 32.36666666666667,1 2.033333333333333 0.08333333333333333 9.233333333333333 -20.633333333333333,-32.53333333333333
POI_4 POI_220 POI_124 POI_125 POI_50 POI_125,POI_84,83 83 83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333 32.36666666666667 -32.333333333333336,1 2.033333333333333 0.08333333333333333 9.233333333333333 -20.633333333333333 -32.53333333333333,111.1
POI_4 POI_220 POI_124 POI_125 POI_50 POI_125 POI_84,POI_72,83 83 83 83 83 83 83,1 6.233333333333333 2.3333333333333335 9.233333333333333 32.36666666666667 -32.333333333333336 164.1,1 2.033333333333333 0.08333333333333333 9.233333333333333 -20.633333333333333 -32.53333333333333 111.1,-53.25
