Q,A,U,T
POI_4 POI_220 POI_124 POI_125 POI_50,POI_84,83 83 83 83 83,1 6 2 9 32
POI_4 POI_220 POI_124 POI_125 POI_50 POI_84,POI_72,83 83 83 83 83 83,1 6 2 9 32 131
POI_4 POI_220 POI_124 POI_125 POI_50 POI_84 POI_72,POI_228,83 83 83 83 83 83 83,1 6 2 9 32 131 4
POI_4 POI_220 POI_124 POI_125 POI_50 POI_84 POI_72 POI_228,POI_185,83 83 83 83 83 83 83 83,1 6 2 9 32 131 4 0
POI_4 POI_220 POI_124 POI_125 POI_50 POI_84 POI_72 POI_228 POI_185,POI_187,83 83 83 83 83 83 83 83 83,1 6 2 9 32 131 4 0 31
POI_131 POI_98,POI_133,84 84,1 0
POI_133 POI_98,POI_84,84 84,1 10
POI_133 POI_98 POI_84,POI_224,84 84 84,1 10 20
POI_133 POI_98 POI_84 POI_224,POI_228,84 84 84 84,1 10 20 1
POI_133 POI_98 POI_84 POI_224 POI_228,POI_187,84 84 84 84 84,1 10 20 1 7
POI_133 POI_98 POI_84 POI_224 POI_228 POI_187,POI_185,84 84 84 84 84 84,1 10 20 1 7 12
POI_133 POI_98 POI_84 POI_224 POI_228 POI_187 POI_185,POI_232,84 84 84 84 84 84 84,1 10 20 1 7 12 7
POI_230 POI_134,POI_135,84 84,1 31
POI_163 POI_202,POI_35,88 88,1 0
POI_163 POI_202 POI_35,POI_188,88 88 88,1 0 59
POI_163 POI_202 POI_35 POI_188,POI_230,88 88 88 88,1 0 59 3
POI_224 POI_223,POI_35,88 88,1 14
POI_230 POI_99,POI_231,89 89,1 6
POI_230 POI_99 POI_231,POI_188,89 89 89,1 6 2
POI_230 POI_99 POI_231 POI_188,POI_35,89 89 89 89,1 6 2 13
POI_230 POI_99 POI_231 POI_188 POI_35,POI_90,89 89 89 89 89,1 6 2 13 44
POI_230 POI_99 POI_231 POI_188 POI_35 POI_90,POI_84,89 89 89 89 89 89,1 6 2 13 44 17
POI_230 POI_99 POI_231 POI_188 POI_35 POI_90 POI_84,POI_228,89 89 89 89 89 89 89,1 6 2 13 44 17 192
POI_230 POI_99 POI_231 POI_188 POI_35 POI_90 POI_84 POI_228,POI_131,89 89 89 89 89 89 89 89,1 6 2 13 44 17 192 5
POI_230 POI_99 POI_231 POI_188 POI_35 POI_90 POI_84 POI_228 POI_131,POI_3,89 89 89 89 89 89 89 89 89,1 6 2 13 44 17 192 5 391
POI_230 POI_99 POI_231 POI_188 POI_35 POI_90 POI_84 POI_228 POI_131 POI_3,POI_29,89 89 89 89 89 89 89 89 89 89,1 6 2 13 44 17 192 5 391 96
POI_47 POI_4,POI_220,89 89,1 171
POI_47 POI_4 POI_220,POI_124,89 89 89,1 171 12
POI_47 POI_4 POI_220 POI_124,POI_208,89 89 89 89,1 171 12 8
POI_47 POI_4 POI_220 POI_124 POI_208,POI_62,89 89 89 89 89,1 171 12 8 65
POI_47 POI_4 POI_220 POI_124 POI_208 POI_62,POI_136,89 89 89 89 89 89,1 171 12 8 65 4
POI_47 POI_4 POI_220 POI_124 POI_208 POI_62 POI_136,POI_87,89 89 89 89 89 89 89,1 171 12 8 65 4 4
POI_47 POI_4 POI_220 POI_124 POI_208 POI_62 POI_136 POI_87,POI_216,89 89 89 89 89 89 89 89,1 171 12 8 65 4 4 16
POI_150 POI_35,POI_38,89 89,1 178
POI_95 POI_57,POI_224,90 90,1 406
POI_95 POI_57 POI_224,POI_99,90 90 90,1 406 42
POI_95 POI_57 POI_224 POI_99,POI_229,90 90 90 90,1 406 42 0
POI_95 POI_57 POI_224 POI_99 POI_229,POI_230,90 90 90 90 90,1 406 42 0 10
POI_95 POI_57 POI_224 POI_99 POI_229 POI_230,POI_55,90 90 90 90 90 90,1 406 42 0 10 37
POI_65 POI_202,POI_12,91 91,1 9
POI_230 POI_14,POI_87,93 93,1 34
POI_230 POI_14 POI_87,POI_65,93 93 93,1 34 49
POI_218 POI_95,POI_131,97 97,1 12
POI_218 POI_95 POI_131,POI_230,97 97 97,1 12 34
POI_218 POI_95 POI_131 POI_230,POI_188,97 97 97 97,1 12 34 7
POI_218 POI_95 POI_131 POI_230 POI_188,POI_2,97 97 97 97 97,1 12 34 7 1
POI_218 POI_95 POI_131 POI_230 POI_188 POI_2,POI_38,97 97 97 97 97 97,1 12 34 7 1 7
POI_38 POI_102,POI_105,97 97,1 64
POI_38 POI_102 POI_105,POI_101,97 97 97,1 64 13
POI_131 POI_84,POI_223,97 97,1 20
POI_2 POI_66,POI_188,97 97,1 21
POI_2 POI_66 POI_188,POI_99,97 97 97,1 21 0
POI_2 POI_66 POI_188 POI_99,POI_190,97 97 97 97,1 21 0 7
POI_2 POI_66 POI_188 POI_99 POI_190,POI_68,97 97 97 97 97,1 21 0 7 12
POI_97 POI_93,POI_131,98 98,1 259
POI_90 POI_38,POI_97,100 100,1 7
POI_90 POI_38 POI_97,POI_99,100 100 100,1 7 111
POI_177 POI_165,POI_163,102 102,1 38
POI_65 POI_202,POI_163,102 102,1 36
POI_230 POI_188,POI_99,105 105,1 2
POI_230 POI_188 POI_99,POI_131,105 105 105,1 2 6
POI_230 POI_188 POI_99 POI_131,POI_190,105 105 105 105,1 2 6 8
POI_230 POI_188 POI_99 POI_131 POI_190,POI_84,105 105 105 105 105,1 2 6 8 10
POI_131 POI_224,POI_229,105 105,1 8
POI_131 POI_224 POI_229,POI_223,105 105 105,1 8 0
POI_131 POI_224 POI_229 POI_223,POI_154,105 105 105 105,1 8 0 6
POI_131 POI_224 POI_229 POI_223 POI_154,POI_157,105 105 105 105 105,1 8 0 6 10
POI_131 POI_224 POI_229 POI_223 POI_154 POI_157,POI_84,105 105 105 105 105 105,1 8 0 6 10 7
POI_131 POI_224 POI_229 POI_223 POI_154 POI_157 POI_84,POI_228,105 105 105 105 105 105 105,1 8 0 6 10 7 0
POI_131 POI_224 POI_229 POI_223 POI_154 POI_157 POI_84 POI_228,POI_19,105 105 105 105 105 105 105 105,1 8 0 6 10 7 0 2
POI_131 POI_224 POI_229 POI_223 POI_154 POI_157 POI_84 POI_228 POI_19,POI_190,105 105 105 105 105 105 105 105 105,1 8 0 6 10 7 0 2 3
POI_230 POI_38,POI_235,105 105,1 37
POI_230 POI_38 POI_235,POI_236,105 105 105,1 37 53
POI_230 POI_38 POI_235 POI_236,POI_35,105 105 105 105,1 37 53 3
POI_230 POI_38 POI_235 POI_236 POI_35,POI_190,105 105 105 105 105,1 37 53 3 21
POI_2 POI_235,POI_190,107 107,1 0
POI_2 POI_235 POI_190,POI_35,107 107 107,1 0 93
POI_2 POI_235 POI_190 POI_35,POI_90,107 107 107 107,1 0 93 6
POI_213 POI_164,POI_66,107 107,1 2
POI_213 POI_164 POI_66,POI_90,107 107 107,1 2 3
POI_23 POI_48,POI_227,107 107,1 1
POI_23 POI_48 POI_227,POI_195,107 107 107,1 1 15
POI_23 POI_48 POI_227 POI_195,POI_114,107 107 107 107,1 1 15 5
POI_23 POI_48 POI_227 POI_195 POI_114,POI_9,107 107 107 107 107,1 1 15 5 2
POI_208 POI_194,POI_34,107 107,1 6
POI_208 POI_194 POI_34,POI_16,107 107 107,1 6 1
POI_208 POI_194 POI_34 POI_16,POI_17,107 107 107 107,1 6 1 6
POI_90 POI_130,POI_131,109 109,1 89
POI_89 POI_87,POI_208,113 113,1 12
POI_130 POI_55,POI_136,119 119,1 0
POI_38 POI_35,POI_188,120 120,1 16
POI_38 POI_35 POI_188,POI_90,120 120 120,1 16 10
POI_90 POI_223,POI_97,121 121,1 74
POI_90 POI_223 POI_97,POI_133,121 121 121,1 74 1
POI_90 POI_223 POI_97 POI_133,POI_188,121 121 121 121,1 74 1 85
POI_90 POI_223 POI_97 POI_133 POI_188,POI_57,121 121 121 121 121,1 74 1 85 82
POI_11 POI_136,POI_13,122 122,1 30
POI_11 POI_136 POI_13,POI_2,122 122 122,1 30 212
POI_11 POI_136 POI_13 POI_2,POI_7,122 122 122 122,1 30 212 2
POI_11 POI_136 POI_13 POI_2 POI_7,POI_74,122 122 122 122 122,1 30 212 2 77
POI_11 POI_136 POI_13 POI_2 POI_7 POI_74,POI_72,122 122 122 122 122 122,1 30 212 2 77 7
POI_11 POI_136 POI_13 POI_2 POI_7 POI_74 POI_72,POI_163,122 122 122 122 122 122 122,1 30 212 2 77 7 8
POI_235 POI_164,POI_163,125 125,1 5
POI_135 POI_152,POI_150,131 131,1 55
POI_135 POI_152 POI_150,POI_203,131 131 131,1 55 48
POI_48 POI_125,POI_4,135 135,1 2
POI_131 POI_190,POI_35,136 136,1 5
POI_219 POI_121,POI_120,137 137,1 84
POI_12 POI_65,POI_203,137 137,1 2
POI_213 POI_38,POI_124,139 139,1 131
POI_213 POI_38 POI_124,POI_230,139 139 139,1 131 360
POI_80 POI_131,POI_63,140 140,1 0
POI_80 POI_131 POI_63,POI_90,140 140 140,1 0 2
POI_80 POI_131 POI_63 POI_90,POI_217,140 140 140 140,1 0 2 1
POI_80 POI_131 POI_63 POI_90 POI_217,POI_183,140 140 140 140 140,1 0 2 1 0
POI_80 POI_131 POI_63 POI_90 POI_217 POI_183,POI_189,140 140 140 140 140 140,1 0 2 1 0 0
POI_80 POI_131 POI_63 POI_90 POI_217 POI_183 POI_189,POI_177,140 140 140 140 140 140 140,1 0 2 1 0 0 4
POI_90 POI_38,POI_236,147 147,1 29
POI_88 POI_97,POI_188,150 150,1 16
POI_228 POI_65,POI_97,152 152,1 161
POI_187 POI_185,POI_218,155 155,1 53
POI_188 POI_4,POI_124,156 156,1 35
POI_188 POI_4 POI_124,POI_125,156 156 156,1 35 6
POI_188 POI_4 POI_124 POI_125,POI_85,156 156 156 156,1 35 6 111
POI_188 POI_4 POI_124 POI_125 POI_85,POI_120,156 156 156 156 156,1 35 6 111 141
POI_188 POI_4 POI_124 POI_125 POI_85 POI_120,POI_132,156 156 156 156 156 156,1 35 6 111 141 79
POI_188 POI_4 POI_124 POI_125 POI_85 POI_120 POI_132,POI_99,156 156 156 156 156 156 156,1 35 6 111 141 79 13
POI_188 POI_4 POI_124 POI_125 POI_85 POI_120 POI_132 POI_99,POI_130,156 156 156 156 156 156 156 156,1 35 6 111 141 79 13 9
POI_188 POI_4 POI_124 POI_125 POI_85 POI_120 POI_132 POI_99 POI_130,POI_88,156 156 156 156 156 156 156 156 156,1 35 6 111 141 79 13 9 11
POI_188 POI_4 POI_124 POI_125 POI_85 POI_120 POI_132 POI_99 POI_130 POI_88,POI_131,156 156 156 156 156 156 156 156 156 156,1 35 6 111 141 79 13 9 11 8
POI_188 POI_4 POI_124 POI_125 POI_85 POI_120 POI_132 POI_99 POI_130 POI_88 POI_131,POI_84,156 156 156 156 156 156 156 156 156 156 156,1 35 6 111 141 79 13 9 11 8 45
POI_131 POI_97,POI_99,156 156,1 42
POI_131 POI_97 POI_99,POI_188,156 156 156,1 42 9
POI_131 POI_97 POI_99 POI_188,POI_230,156 156 156 156,1 42 9 19
POI_220 POI_125,POI_124,157 157,1 47
POI_220 POI_125 POI_124,POI_61,157 157 157,1 47 86
POI_37 POI_95,POI_70,157 157,1 74
POI_65 POI_23,POI_50,157 157,1 14
POI_201 POI_12,POI_203,157 157,1 2
POI_130 POI_55,POI_57,157 157,1 4
POI_130 POI_55 POI_57,POI_131,157 157 157,1 4 6
POI_130 POI_55 POI_57 POI_131,POI_90,157 157 157 157,1 4 6 3
POI_130 POI_55 POI_57 POI_131 POI_90,POI_2,157 157 157 157 157,1 4 6 3 49
POI_130 POI_55 POI_57 POI_131 POI_90 POI_2,POI_38,157 157 157 157 157 157,1 4 6 3 49 8
POI_130 POI_55 POI_57 POI_131 POI_90 POI_2 POI_38,POI_236,157 157 157 157 157 157 157,1 4 6 3 49 8 4
POI_48 POI_23,POI_161,157 157,1 45
POI_48 POI_23 POI_161,POI_50,157 157 157,1 45 138
POI_177 POI_241,POI_202,157 157,1 2
POI_81 POI_79,POI_177,157 157,1 1
POI_230 POI_98,POI_190,157 157,1 27
POI_35 POI_84,POI_165,157 157,1 73
POI_35 POI_84 POI_165,POI_65,157 157 157,1 73 120
POI_218 POI_185,POI_228,158 158,1 21
POI_218 POI_185 POI_228,POI_131,158 158 158,1 21 10
POI_7 POI_235,POI_236,158 158,1 34
POI_7 POI_235 POI_236,POI_90,158 158 158,1 34 9
POI_7 POI_235 POI_236 POI_90,POI_190,158 158 158 158,1 34 9 14
POI_7 POI_235 POI_236 POI_90 POI_190,POI_188,158 158 158 158 158,1 34 9 14 17
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188,POI_230,158 158 158 158 158 158,1 34 9 14 17 5
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188 POI_230,POI_97,158 158 158 158 158 158 158,1 34 9 14 17 5 8
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188 POI_230 POI_97,POI_131,158 158 158 158 158 158 158 158,1 34 9 14 17 5 8 4
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188 POI_230 POI_97 POI_131,POI_84,158 158 158 158 158 158 158 158 158,1 34 9 14 17 5 8 4 11
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188 POI_230 POI_97 POI_131 POI_84,POI_228,158 158 158 158 158 158 158 158 158 158,1 34 9 14 17 5 8 4 11 3
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188 POI_230 POI_97 POI_131 POI_84 POI_228,POI_187,158 158 158 158 158 158 158 158 158 158 158,1 34 9 14 17 5 8 4 11 3 18
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188 POI_230 POI_97 POI_131 POI_84 POI_228 POI_187,POI_5,158 158 158 158 158 158 158 158 158 158 158 158,1 34 9 14 17 5 8 4 11 3 18 11
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188 POI_230 POI_97 POI_131 POI_84 POI_228 POI_187 POI_5,POI_61,158 158 158 158 158 158 158 158 158 158 158 158 158,1 34 9 14 17 5 8 4 11 3 18 11 137
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188 POI_230 POI_97 POI_131 POI_84 POI_228 POI_187 POI_5 POI_61,POI_232,158 158 158 158 158 158 158 158 158 158 158 158 158 158,1 34 9 14 17 5 8 4 11 3 18 11 137 25
POI_190 POI_97,POI_188,160 160,1 7
POI_189 POI_35,POI_188,160 160,1 25
POI_189 POI_35 POI_188,POI_97,160 160 160,1 25 21
POI_235 POI_35,POI_76,163 163,1 170
POI_190 POI_132,POI_120,164 164,1 13
POI_70 POI_90,POI_4,165 165,1 110
POI_202 POI_65,POI_99,166 166,1 3
POI_57 POI_88,POI_99,166 166,1 10
POI_56 POI_88,POI_130,169 169,1 9
POI_80 POI_109,POI_230,170 170,1 1
POI_80 POI_109 POI_230,POI_79,170 170 170,1 1 1
POI_80 POI_109 POI_230 POI_79,POI_190,170 170 170 170,1 1 1 10
POI_122 POI_219,POI_76,173 173,1 0
POI_122 POI_219 POI_76,POI_150,173 173 173,1 0 0
POI_122 POI_219 POI_76 POI_150,POI_4,173 173 173 173,1 0 0 0
POI_189 POI_35,POI_51,174 174,1 69
POI_190 POI_131,POI_224,175 175,1 20
POI_190 POI_90,POI_35,181 181,1 45
POI_11 POI_47,POI_202,182 182,1 90
POI_11 POI_47 POI_202,POI_201,182 182 182,1 90 13
POI_11 POI_47 POI_202 POI_201,POI_65,182 182 182 182,1 90 13 12
POI_11 POI_47 POI_202 POI_201 POI_65,POI_14,182 182 182 182 182,1 90 13 12 26
POI_11 POI_47 POI_202 POI_201 POI_65 POI_14,POI_13,182 182 182 182 182 182,1 90 13 12 26 10
POI_11 POI_47 POI_202 POI_201 POI_65 POI_14 POI_13,POI_66,182 182 182 182 182 182 182,1 90 13 12 26 10 0
POI_11 POI_47 POI_202 POI_201 POI_65 POI_14 POI_13 POI_66,POI_189,182 182 182 182 182 182 182 182,1 90 13 12 26 10 0 3
POI_11 POI_47 POI_202 POI_201 POI_65 POI_14 POI_13 POI_66 POI_189,POI_231,182 182 182 182 182 182 182 182 182,1 90 13 12 26 10 0 3 1
POI_11 POI_47 POI_202 POI_201 POI_65 POI_14 POI_13 POI_66 POI_189 POI_231,POI_230,182 182 182 182 182 182 182 182 182 182,1 90 13 12 26 10 0 3 1 11
POI_11 POI_47 POI_202 POI_201 POI_65 POI_14 POI_13 POI_66 POI_189 POI_231 POI_230,POI_131,182 182 182 182 182 182 182 182 182 182 182,1 90 13 12 26 10 0 3 1 11 7
POI_11 POI_47 POI_202 POI_201 POI_65 POI_14 POI_13 POI_66 POI_189 POI_231 POI_230 POI_131,POI_55,182 182 182 182 182 182 182 182 182 182 182 182,1 90 13 12 26 10 0 3 1 11 7 3
POI_241 POI_177,POI_189,183 183,1 2
POI_241 POI_177 POI_189,POI_90,183 183 183,1 2 54
POI_241 POI_177 POI_189 POI_90,POI_99,183 183 183 183,1 2 54 29
POI_241 POI_177 POI_189 POI_90 POI_99,POI_131,183 183 183 183 183,1 2 54 29 25
POI_241 POI_177 POI_189 POI_90 POI_99 POI_131,POI_35,183 183 183 183 183 183,1 2 54 29 25 10
POI_241 POI_177 POI_189 POI_90 POI_99 POI_131 POI_35,POI_236,183 183 183 183 183 183 183,1 2 54 29 25 10 26
POI_99 POI_231,POI_235,188 188,1 284
POI_68 POI_87,POI_159,188 188,1 25
POI_213 POI_97,POI_131,193 193,1 32
POI_213 POI_97 POI_131,POI_130,193 193 193,1 32 77
POI_236 POI_5,POI_35,193 193,1 15
POI_236 POI_5 POI_35,POI_188,193 193 193,1 15 52
POI_236 POI_5 POI_35 POI_188,POI_132,193 193 193 193,1 15 52 26
POI_230 POI_231,POI_38,195 195,1 127
POI_230 POI_231 POI_38,POI_130,195 195 195,1 127 38
POI_189 POI_235,POI_230,196 196,1 2
POI_189 POI_98,POI_188,200 200,1 4
POI_189 POI_98 POI_188,POI_190,200 200 200,1 4 15
POI_189 POI_98 POI_188 POI_190,POI_235,200 200 200 200,1 4 15 12
POI_189 POI_98 POI_188 POI_190 POI_235,POI_35,200 200 200 200 200,1 4 15 12 29
POI_189 POI_98 POI_188 POI_190 POI_235 POI_35,POI_90,200 200 200 200 200 200,1 4 15 12 29 52
POI_189 POI_98 POI_188 POI_190 POI_235 POI_35 POI_90,POI_66,200 200 200 200 200 200 200,1 4 15 12 29 52 1
POI_189 POI_98 POI_188 POI_190 POI_235 POI_35 POI_90 POI_66,POI_17,200 200 200 200 200 200 200 200,1 4 15 12 29 52 1 4
POI_189 POI_98 POI_188 POI_190 POI_235 POI_35 POI_90 POI_66 POI_17,POI_87,200 200 200 200 200 200 200 200 200,1 4 15 12 29 52 1 4 392
POI_235 POI_236,POI_132,200 200,1 4
POI_235 POI_236 POI_132,POI_228,200 200 200,1 4 394
POI_188 POI_219,POI_12,203 203,1 19
POI_218 POI_97,POI_230,204 204,1 55
POI_109 POI_232,POI_228,206 206,1 28
POI_197 POI_205,POI_237,206 206,1 38
POI_231 POI_97,POI_150,207 207,1 89
POI_189 POI_97,POI_62,210 210,1 113
POI_38 POI_90,POI_188,211 211,1 157
POI_38 POI_90 POI_188,POI_35,211 211 211,1 157 54
POI_90 POI_35,POI_96,213 213,1 11
POI_90 POI_35 POI_96,POI_194,213 213 213,1 11 46
POI_90 POI_35 POI_96 POI_194,POI_87,213 213 213 213,1 11 46 1
